Tier	BOC Category	Product Line	Key HCPCS Codes	Budget	Quantity Summary	Medicare Rate Range	Notes
TIER 1: MOBILITY	M05	Walkers	E0130, E0143, E0141, E0154	$2,500	15 units mixed types		
TIER 1: MOBILITY	M01	Canes & Crutches	E0100, E0105, E0110, E0112, E0118	$1,800	26 units mixed types		
TIER 1: MOBILITY	M06/M06A	Manual Wheelchairs - Adult	K0001, K0003, K0002, K0007, E2601, E2602	$3,500	8 wheelchairs + 8 cushions + accessories		
TIER 1: MOBILITY	M06	Manual Wheelchairs - Pediatric	K0001, K0003, E2601	$1,500	4 wheelchairs + 4 cushions		
TIER 1: MOBILITY	DM02	Commodes & Bedpans	E0163, E0165, E0168, E0275, E0276, E0160, E0161	$2,200	10 commodes + 20 bedpans + 3 sitz baths		
			TIER 1 SUBTOTAL:	$11,500			
TIER 2: WOUND CARE	S01	Surgical Dressings	A6209-A6215, A6234-A6241, A6257-A6259, A6216-A6230, A6196-A6199	$5,500	105 boxes mixed wound dressings		High-volume consumable
TIER 2: WOUND CARE	S04	Lymphedema Compression	A6530-A6545, A6583-A6588, A6594-A6609, A6576-A6578	$3,500	54 items compression stockings/wraps/sleeves		
			TIER 2 SUBTOTAL:	$9,000			
TIER 3: INCONTINENCE	PD09	Incontinence Products	A4520, A4554, A4553	$4,500	4,000 briefs + 2,000 chux + 20 reusable		High-volume consumable
TIER 3: INCONTINENCE	PD09	Urological Supplies	A4338-A4346, A4357-A4358, A4320-A4322, A4349, A4310-A4316	$2,500	250 items mixed catheters/bags/supplies		
TIER 3: INCONTINENCE	DM29	Urinary Suction Pumps	E2001, A6590, A7001, A7002	$1,500	3 pumps + 50 supplies		
			TIER 3 SUBTOTAL:	$8,500			
TIER 4: DIABETES	DM05/DM06	Blood Glucose Monitors	E0607, A4253, A4259, A4256, A4258	$3,500	20 monitors + 215 boxes supplies		Choose ONE brand
TIER 4: DIABETES	DM05/DM06	CGM Full Systems (Dexcom + Libre)	E2103, A4239	$5,600	10 receivers + 20 boxes sensors		Need Dexcom/Abbott vendor intros
TIER 4: DIABETES	DM25	Insulin Pump Supplies	A4224, A4225, K0552	$1,200	60 boxes mixed supplies		Stock 2 brands max
			TIER 4 SUBTOTAL:	$10,300			
TIER 5: RESPIRATORY	R07	Nebulizers	E0570, E0572, A7015, A7016, A7003-A7010, A7013-A7014	$2,500	8 nebulizer units + 180 supplies		
TIER 5: THERAPY	DM22	TENS Units	E0720, E0730, A4595, A4557, A4556, A4630	$2,000	10 TENS devices + 125 supplies		
TIER 5: THERAPY	DM16	NMES/Muscle Stimulation	E0731, E0744, E0745, A4595	$1,700	5 NMES units + 30 supplies		
TIER 5: THERAPY	DM18	Pneumatic Compression	E0651, E0652, E0667-E0673, A4600	$2,400	2 pumps + 13 sleeves		
			TIER 5 SUBTOTAL:	$8,600			
TIER 6: PRESSURE RELIEF	DM20	Support Surfaces	E0199, E0196, E0186, E0197, E0198, E0277	$4,500	17 mattresses/pads mixed		
TIER 6: COMFORT	DM08	Heat & Cold Applications	E0215, E0217, E0230, E0236, E0239, E0235	$1,500	56 items mixed		
TIER 6: COMFORT	DM11	Infrared Heating Pads	E0221, A4639	$800	13 pads/supplies		
			TIER 6 SUBTOTAL:	$6,800			
TIER 7: ORTHOTICS	OR03	Off-the-Shelf Orthotics - General	L1810, L1820, L1830, L1833, L1900, L1902, L1906, L0621, L0625, L0628, L3908, L3916, L3702, L3710, L0120, L0172	$2,500	46 braces mixed types		
TIER 7: ORTHOTICS	OR03	Ankle/Foot Orthotics - Expanded	L1902, L1906, L4361, L4350, L4370, L4387	$1,550	24 ankle braces/CAM walkers		Dr. Nas ankle product request
TIER 7: SPECIALIZED	DM12	External Infusion Pumps	E0781, E0779, A4305, A4306	$2,200	3 pumps + 20 supplies		
TIER 7: SPECIALIZED	DM15	Negative Pressure Wound Therapy	E2402, A7000, A6550	$1,500	1 pump + 20 supplies		
TIER 7: SPECIALIZED	DM17	Osteogenesis Stimulators	E0760, E0747, E0748, A4559	$2,700	3 stimulators + 5 supplies		
TIER 7: SPECIALIZED	DM21	Traction Equipment	E0855, E0856, E0830, E0890, E0900	$1,200	5 traction devices		
			TIER 7 SUBTOTAL:	$11,650			
TIER 8: ENTERAL	PE03	Enteral Nutrients - Adult	B4150, B4152, B4154, B4155	$1,350	40 cans mixed formulas		Requires prescription
TIER 8: ENTERAL	PE03	Enteral Nutrients - Pediatric	B4160, B4161, B4162	$750	15 cans pediatric formulas		Tube-fed children only
TIER 8: ENTERAL	PE04	Enteral Equipment	E0776, B4034-B4036, B4088, B4081-B4083	$1,400	2 pumps + 40 kits/tubes		
			TIER 8 SUBTOTAL:	$3,500			
TIER 9: MISC	PD08	Tracheostomy Supplies	A7520-A7527, A4625, A4626, A7505-A7506, A4481, A4483	$1,250	50 items mixed trach supplies		
TIER 9: MISC	Non-HCPCS	Basic Supplies	A9286 + various non-HCPCS	$800	500+ items (gloves, wipes, tape, etc)		Non-reimbursable
			TIER 9 SUBTOTAL:	$2,050			
							
			GRAND TOTAL:	$62,400	29 product categories		
							
KEY VENDOR NEEDS:							
CGM Manufacturers		Dexcom + Abbott					Priority - VGM introductions needed
Major Distributors		McKesson, Medline, Cardinal					Bulk consumables
Wound Care		Smith & Nephew, 3M, Mölnlycke					
Compression		Juzo, Jobst, Sigvaris					
Wheelchairs		Invacare, Drive Medical, Karman					
TENS/Therapy		Chattanooga, Roscoe Medical					
Orthotics		Ossur, DonJoy, Aircast, Breg					For ankle/foot products
