"Tier","BOC Category","Product Line","HCPCS Code","Description","Quantity","Unit Cost Est","Medicare Rate","Total Budget","Notes"
"TIER 3","PD09","Incontinence","A4520","Adult brief/diaper","3000","$1.17","","$3,500","Mix: 40% L, 30% M, 20% XL, 10% S/Bariatric"
"TIER 3","PD09","Incontinence","A4520","Adult pull-up","1000","$0.70","","$700",""
"TIER 3","PD09","Incontinence","A4554","Disposable underpad (chux)","2000","$0.13","","$250",""
"TIER 3","PD09","Incontinence","A4553","Reusable underpad","20","$2.50","","$50",""
"TIER 4","DM05/DM06","CGM","E2103","Dexcom G7 receiver","5","$260","","$1,300","Need Dexcom vendor intro"
"TIER 4","DM05/DM06","CGM","E2103","Freestyle Libre reader","5","$260","","$1,300","Need Abbott vendor intro"
"TIER 4","DM05/DM06","CGM","A4239","Dexcom G7 sensors (30-day)","10","$150","","$1,500",""
"TIER 4","DM05/DM06","CGM","A4239","Libre sensors (30-day)","10","$150","","$1,500",""
"TIER 4","DM05/DM06","BGM","E0607","Blood glucose monitor","20","$20","","$400","Choose ONE brand"
"TIER 4","DM05/DM06","BGM","A4253","Test strips (50-ct box)","100","$24","","$2,400",""
"TIER 4","DM05/DM06","BGM","A4259","Lancets (box)","60","$5","","$300",""
"TIER 2","S01","Wound Care","A6209","Foam ≤16 sq in","25","$24","","$600",""
"TIER 2","S01","Wound Care","A6210","Foam 16-48 sq in","25","$28","","$700",""
"TIER 2","S01","Wound Care","A6211","Foam >48 sq in","15","$33","","$500",""
"TIER 2","S01","Wound Care","A6234","Hydrocolloid ≤16 sq in","15","$27","","$400",""
"TIER 2","S01","Wound Care","A6235","Hydrocolloid 16-48 sq in","15","$30","","$450",""
"TIER 2","S01","Wound Care","A6257","Transparent film ≤16 sq in","25","$12","","$300",""
"TIER 2","S04","Compression","A6530","Below-knee 18-30 mmHg","5","$50","","$250",""
"TIER 2","S04","Compression","A6531","Below-knee 30-40 mmHg","5","$60","","$300",""
"TIER 2","S04","Compression","A6532","Below-knee 40-50 mmHg","5","$70","","$350",""
"TIER 7","OR03","Ankle/Foot","L4361","CAM walker pneumatic","6","$75","","$450","Dr. Nas request"
"TIER 7","OR03","Ankle/Foot","L4387","Walking boot non-pneumatic","2","$50","","$100",""
"TIER 7","OR03","Ankle/Foot","L1906","AFO multiligament ankle","6","$75","","$450",""
"TIER 1","M05","Walkers","E0130","Walker rigid","6","$100","","$600",""
"TIER 1","M05","Walkers","E0143","Walker folding wheeled","4","$200","","$800",""
"TIER 1","M06/M06A","Wheelchairs","K0001","Standard wheelchair","3","$300","","$900",""
"TIER 1","M06/M06A","Wheelchairs","K0003","Lightweight wheelchair","2","$350","","$700",""
"TIER 3","PD09","Urological","A4338","Foley 2-way latex","20","$7.50","","$150",""
"TIER 3","PD09","Urological","A4344","Foley 2-way silicone","20","$12.50","","$250",""
"TIER 3","PD09","Urological","A4357","Drainage bag","40","$5","","$200",""
"TIER 3","PD09","Urological","A4358","Leg bag","30","$8.33","","$250",""
"","","","","","","","","",""
"SUMMARY","","REMAINING CATEGORIES:","","","","","","",""
"TIER 5","R07","Nebulizers","MULTIPLE","6 units + 180 supplies","","","","$2,500","E0570, E0572, A7015, A7016, A7003-A7014"
"TIER 5","DM22","TENS","MULTIPLE","10 devices + 125 supplies","","","","$2,000","E0720, E0730, A4595, A4557, A4556, A4630"
"TIER 6","DM20","Support Surfaces","MULTIPLE","17 mattresses/pads","","","","$4,500","E0199, E0196, E0186, E0197, E0198, E0277"
"TIER 7","OR03","Orthotics General","MULTIPLE","46 braces mixed","","","","$2,500","L1810, L1820, L1830, etc."
"TIER 8","PE03/PE04","Enteral","MULTIPLE","55 cans + equipment","","","","$3,500","B4150-B4162, E0776, B4034-B4088"
"TIER 9","PD08/Misc","Trach/Basic","MULTIPLE","550+ items","","","","$2,050","A7520-A7527, A4625, basic supplies"
"","","","","","","","","",""
"","","","GRAND TOTAL:","","","","","$62,400","29 categories total"
