HCPCS_Code,BOC_Category,Description,Quantity,Estimated_Unit_Cost,Total_Cost,Medicare_Rate,Priority_Score,Source,Customers,Profit_Margin_%,Profit_Per_Unit,Total_Revenue_Potential,Total_Profit_Potential
E0607,DM06,HOME BLOOD GLUCOSE MONITOR,25,100.0,2500.0,93.36,90,CUSTOMER,"MOYHINOR, WALTERS",-0.07112253641816624,-6.640000000000001,2334.0,-166.0
L1902,OR03,"ANKLE ORTHOSIS, ANKLE GAUNTLET OR SIMILAR, WITH OR WITHOUT JOINTS, PREFABRICATED, OFF-THE-SHELF",20,40.0,800.0,117.69,80,CUSTOMER,DR_NAS,0.6601240547200272,77.69,2353.8,1553.8
E0130,M05,"WALKER, RIGID (PICKUP), ADJUSTABLE OR FIXED HEIGHT",5,100.0,500.0,53.39,70,CUSTOMER,RAMBOM,-0.8730099269526128,-46.61,266.95,-233.05
K0001,M06,STANDARD WHEELCHAIR,2,400.0,800.0,23.1,70,CUSTOMER,MOYHINOR,-16.316017316017312,-376.9,46.2,-753.8
A4253,DM06,"BLOOD GLUCOSE TEST OR REAGENT STRIPS FOR HOME BLOOD GLUCOSE MONITOR, PER 50 STRIPS",1500,0.5,750.0,8.32,70,CUSTOMER,WALTERS,0.9399038461538461,7.82,12480.0,11730.0
E0143,M05,"WALKER, FOLDING, WHEELED, ADJUSTABLE OR FIXED HEIGHT",3,200.0,600.0,54.75,70,CUSTOMER,RAMBOM,-2.65296803652968,-145.25,164.25,-435.75
A4259,DM06,"LANCETS, PER BOX OF 100",1000,0.2,200.0,1.42,70,CUSTOMER,WALTERS,0.8591549295774649,1.22,1420.0,1220.0
A6455,S01,"SELF-ADHERENT BANDAGE, ELASTIC, NON-KNITTED/NON-WOVEN, WIDTH GREATER THAN OR EQUAL TO FIVE INCHES, PER YARD",3,1.17,3.51,1.95,60,LAUNCH_INVENTORY,,0.4,0.78,5.85,2.34
B4150,PE03,"ENTERAL FORMULA, NUTRITIONALLY COMPLETE WITH INTACT NUTRIENTS, INCLUDES PROTEINS, FATS, CARBOHYDRATES, VITAMINS AND MINERALS, MAY INCLUDE FIBER, ADMINISTERED THROUGH AN ENTERAL FEEDING TUBE, 100 CALORIES = 1 UNIT",40,30.0,1200.0,0.46,60,CUSTOMER,RAMBOM,-64.21739130434783,-29.54,18.400000000000002,-1181.6
A6441,S01,"PADDING BANDAGE, NON-ELASTIC, NON-WOVEN/NON-KNITTED, WIDTH GREATER THAN OR EQUAL TO THREE INCHES AND LESS THAN FIVE INCHES, PER YARD",3,0.57,1.71,0.95,60,LAUNCH_INVENTORY,,0.4,0.38,2.8499999999999996,1.1400000000000001
A6456,S01,"ZINC PASTE IMPREGNATED BANDAGE, NON-ELASTIC, KNITTED/WOVEN, WIDTH GREATER THAN OR EQUAL TO THREE INCHES AND LESS THAN FIVE INCHES, PER YARD",3,1.05,3.1500000000000004,1.75,60,LAUNCH_INVENTORY,,0.39999999999999997,0.7,5.25,2.0999999999999996
A6451,S01,"MODERATE COMPRESSION BANDAGE, ELASTIC, KNITTED/WOVEN, LOAD RESISTANCE OF 1.25 TO 1.34 FOOT POUNDS AT 50% MAXIMUM STRETCH, WIDTH GREATER THAN OR EQUAL TO THREE INCHES AND LESS THAN FIVE INCHES, PER YARD",3,1.47,4.41,2.45,60,LAUNCH_INVENTORY,,0.4000000000000001,0.9800000000000002,7.3500000000000005,2.9400000000000004
A6450,S01,"LIGHT COMPRESSION BANDAGE, ELASTIC, KNITTED/WOVEN, WIDTH GREATER THAN OR EQUAL TO FIVE INCHES, PER YARD",3,1.47,4.41,2.45,60,LAUNCH_INVENTORY,,0.4000000000000001,0.9800000000000002,7.3500000000000005,2.9400000000000004
A6576,S04,"GRADIENT  COMPRESSION ARM SLEEVE, CUSTOM, MEDIUM WEIGHT, EACH",3,114.018,342.054,190.03,60,LAUNCH_INVENTORY,,0.4,76.012,570.09,228.036
A6535,S01,"GRADIENT COMPRESSION STOCKING, THIGH LENGTH, 40 MMHG OR GREATER, EACH",3,42.138,126.414,70.23,60,LAUNCH_INVENTORY,,0.4000000000000001,28.092000000000006,210.69,84.27600000000001
A6534,S01,"GRADIENT COMPRESSION STOCKING, THIGH LENGTH, 30-40 MMHG, EACH",3,36.6,109.8,61.0,60,LAUNCH_INVENTORY,,0.39999999999999997,24.4,183.0,73.19999999999999
A6447,S01,"CONFORMING BANDAGE, NON-ELASTIC, KNITTED/WOVEN, STERILE, WIDTH GREATER THAN OR EQUAL TO FIVE INCHES, PER YARD",3,0.57,1.71,0.95,60,LAUNCH_INVENTORY,,0.4,0.38,2.8499999999999996,1.1400000000000001
A6453,S01,"SELF-ADHERENT BANDAGE, ELASTIC, NON-KNITTED/NON-WOVEN, WIDTH LESS THAN THREE INCHES, PER YARD",3,0.528,1.584,0.88,60,LAUNCH_INVENTORY,,0.39999999999999997,0.352,2.64,1.056
A6452,S01,"HIGH COMPRESSION BANDAGE, ELASTIC, KNITTED/WOVEN, LOAD RESISTANCE GREATER THAN OR EQUAL TO 1.35 FOOT POUNDS AT 50% MAXIMUM STRETCH, WIDTH GREATER THAN OR EQUAL TO THREE INCHES AND LESS THAN FIVE INCHES, PER YARD",3,4.944,14.832,8.24,60,LAUNCH_INVENTORY,,0.4,3.2960000000000003,24.72,9.888000000000002
A4360,PD09,"DISPOSABLE EXTERNAL URETHRAL CLAMP OR COMPRESSION DEVICE, WITH PAD AND/OR POUCH, EACH",3,0.354,1.0619999999999998,0.59,60,LAUNCH_INVENTORY,,0.4,0.236,1.77,0.708
A6449,S01,"LIGHT COMPRESSION BANDAGE, ELASTIC, KNITTED/WOVEN, WIDTH GREATER THAN OR EQUAL TO THREE INCHES AND LESS THAN FIVE INCHES, PER YARD",3,1.47,4.41,2.45,60,LAUNCH_INVENTORY,,0.4000000000000001,0.9800000000000002,7.3500000000000005,2.9400000000000004
A6021,S01,"COLLAGEN DRESSING, STERILE, SIZE 16 SQ. IN. OR LESS, EACH",3,17.628,52.884,29.38,60,LAUNCH_INVENTORY,,0.39999999999999997,11.751999999999999,88.14,35.256
A6011,S01,"COLLAGEN BASED WOUND FILLER, GEL/PASTE, PER GRAM OF COLLAGEN",3,1.914,5.742,3.19,60,LAUNCH_INVENTORY,,0.4,1.276,9.57,3.8280000000000003
A6010,S01,"COLLAGEN BASED WOUND FILLER, DRY FORM, STERILE, PER GRAM OF COLLAGEN",3,25.962,77.886,43.27,60,LAUNCH_INVENTORY,,0.4,17.308000000000003,129.81,51.92400000000001
